school,year,games,wins,losses,ties,preseason_rank,postseason_rank,srs,sp_overall,sp_offense,sp_defense,first_name,last_name
Boston College,2014,13,7,6,0,,,6.2,4.9,28.7,23.7,Steve,Addazio
Boston College,2015,12,3,9,0,,,-0.1,4.7,18,12.5,Steve,Addazio
Boston College,2016,13,7,6,0,,,-2.4,-1.6,20.1,20.8,Steve,Addazio
Boston College,2017,13,7,6,0,,,11.2,4.6,25.2,19.9,Steve,Addazio
Boston College,2018,12,7,5,0,,,5.3,2.4,26.5,22.1,Steve,Addazio
Boston College,2019,12,6,6,0,,,-2.9,-5.7,31.3,35.4,Steve,Addazio
Colorado State,2020,4,1,3,0,,,-11.3,-6.5,24.2,30.5,Steve,Addazio
Indiana,2016,1,0,1,0,,,1.0,4.6,25.1,19.4,Tom,Allen
Indiana,2017,12,5,7,0,,,6.0,10.2,28.6,20.2,Tom,Allen
Indiana,2018,12,5,7,0,,,1.5,1.6,30.2,29.1,Tom,Allen
Indiana,2019,13,8,5,0,,,6.8,12.8,35.6,23.8,Tom,Allen
Indiana,2020,8,6,2,0,,12,13.2,11.2,33.6,22.6,Tom,Allen
Wisconsin,2014,1,1,0,0,14,13,15.3,20.8,38.7,18.1,Barry,Alvarez
Wisconsin,2014,13,10,3,0,14,13,15.3,20.8,38.7,18.1,Gary,Andersen
Oregon State,2015,12,2,10,0,,,-10.8,-10.1,25.9,35.3,Gary,Andersen
Oregon State,2016,12,4,8,0,,,1.6,-4.6,26.1,30,Gary,Andersen
Oregon State,2017,6,1,5,0,,,-16.5,-12.6,28.8,39.9,Gary,Andersen
Utah State,2019,13,7,6,0,,,-5.3,-4.3,26.2,31,Gary,Andersen
Utah State,2020,3,0,3,0,,,-19.2,-16.7,20.2,37,Gary,Andersen
Arkansas State,2014,13,7,6,0,,,-4.9,-0.3,31.5,31.6,Blake,Anderson
Arkansas State,2015,13,9,4,0,,,-3.2,0.5,30.9,28.4,Blake,Anderson
Arkansas State,2016,13,8,5,0,,,-1.2,-1.2,21.9,21.1,Blake,Anderson
Arkansas State,2017,12,7,5,0,,,-2.9,1.5,29.3,28.6,Blake,Anderson
Arkansas State,2018,13,8,5,0,,,-2.8,1.2,29.9,27.9,Blake,Anderson
Arkansas State,2019,13,8,5,0,,,-5.6,-2.9,30.1,34.2,Blake,Anderson
Arkansas State,2020,11,4,7,0,,,-7.3,-6.5,31.1,37.2,Blake,Anderson
Houston,2016,1,0,1,0,15,,5.4,10.1,30.8,21.7,Major,Applewhite
Houston,2017,12,7,5,0,,,2.7,7.7,32.3,25.8,Major,Applewhite
Houston,2018,13,8,5,0,,,-1.1,2.3,36.7,34.9,Major,Applewhite
Baylor,2020,9,2,7,0,,,1.8,1.3,25.6,24.2,Dave,Aranda
UNLV,2020,6,0,6,0,,,-19.2,-19.7,22,41.5,Marcus,Arroyo
Akron,2019,12,0,12,0,,,-34.7,-29.8,7.7,35.3,Tom,Arth
Akron,2020,6,1,5,0,,,,,,,Tom,Arth
Rutgers,2016,12,2,10,0,,,-10.9,-14.9,17.3,29.9,Chris,Ash
Rutgers,2017,12,4,8,0,,,-6.1,-5.5,23.3,29,Chris,Ash
Rutgers,2018,12,1,11,0,,,-12.9,-12.3,15,28.5,Chris,Ash
Rutgers,2019,4,1,3,0,,,-16.7,-14.6,17.4,31.8,Chris,Ash
Bowling Green,2014,14,8,6,0,,,-13.4,-5.4,27.7,33.5,Dino,Babers
Bowling Green,2015,13,10,3,0,,,8.5,7.5,39.4,32.1,Dino,Babers
Syracuse,2016,12,4,8,0,,,-6.9,-2.7,29.2,31.2,Dino,Babers
Syracuse,2017,12,4,8,0,,,1.0,4,29.3,27.3,Dino,Babers
Syracuse,2018,13,10,3,0,,,12.1,7.5,32.1,27.4,Dino,Babers
Syracuse,2019,12,5,7,0,22,,-6.5,-3,24.5,29.6,Dino,Babers
Syracuse,2020,11,1,10,0,,,,,,,Dino,Babers
Rice,2014,13,8,5,0,,,-3.4,-3.1,27.9,29.8,David,Bailiff
Rice,2015,12,5,7,0,,,-18.0,-14.6,24,37.9,David,Bailiff
