"","coach","obvious_go_pct","avg_croot_points","one_score_game_win_pct","early_down_pass_rate","DVOE","cluster"
"1","Al Golden",0.45,235.785,1,0.380423814328961,141,"2"
"2","Art Briles",0.722222222222222,207.005,0.5,0.357654723127036,-55.1,"3"
"3","Barry Odom",0.289473684210526,193.8975,0.333333333333333,0.375044818931517,-42.4,"1"
"4","Bill Clark",0.44,128.124,0.8,0.304837640821736,-50.7,"3"
"5","Bill Cubit",0.555555555555556,181.74,1,0.46177370030581,-61.7,"2"
"6","Bill Snyder",0.333333333333333,170.764,0.75,0.312403340550572,34.3,"2"
"7","Billy Napier",0.67741935483871,147.233333333333,0.769230769230769,0.326716738197425,102.4,"3"
"8","Blake Anderson",0.550561797752809,132.884285714286,0.571428571428571,0.396409714889124,-95.5,"1"
"9","Bob Davie",0.460674157303371,118.465,0.8,0.218465539661899,-77.4,"3"
"10","Bob Diaco",0.357142857142857,115.343333333333,0.75,0.391884057971014,69.6,"1"
"11","Bob Stoops",0.269230769230769,245.786666666667,0.75,0.365322580645161,-242,"2"
"12","Bobby Hauck",0.625,91.15,0.333333333333333,0.421192052980132,-14.9,"1"
"13","Bobby Petrino",0.395833333333333,188.196,0.7,0.403873140611844,412.1,"2"
"14","Bobby Wilder",0.56140350877193,115.723333333333,0.714285714285714,0.423997772828508,-14.6,"1"
"15","Brad Lambert",0.452380952380952,106.4975,0.75,0.33402146985962,-19.2,"1"
"16","Brady Hoke",0.333333333333333,204.44,1,0.369491525423729,-136.7,"2"
"17","Bret Bielema",0.53125,217.5225,0.541666666666667,0.34029528267915,-120.1,"2"
"18","Brian Kelly",0.558441558441558,258.264285714286,0.821428571428571,0.364270490215075,285.9,"2"
"19","Brian Polian",0.541666666666667,122.47,0.571428571428571,0.329094608341811,-42.2,"1"
"20","Bronco Mendenhall",0.546666666666667,175.611428571429,0.51219512195122,0.454640033291719,-386.9,"1"
"21","Bryan Harsin",0.391304347826087,172.024285714286,0.857142857142857,0.387220318484177,38.4,"2"
"22","Butch Davis",0.463414634146341,156.5425,0.866666666666667,0.346153846153846,-39.5,"2"
"23","Butch Jones",0.32258064516129,271.656666666667,0.352941176470588,0.34375,-136,"2"
"24","Chad Lunsford",0.416666666666667,133.97,0.764705882352941,0.148345784418356,-45.2,"3"
"25","Chad Morris",0.369565217391304,156.9425,0.4,0.380850412970327,-88.9,"1"
"26","Charlie Partridge",0.358974358974359,130.176666666667,0.333333333333333,0.365252293577982,-30.3,"1"
"27","Charlie Strong",0.388888888888889,213.056666666667,0.64,0.335285505124451,-867,"2"
"28","Chip Kelly",0.521739130434783,215.266666666667,0.75,0.369186046511628,-160,"2"
"29","Chris Ash",0.19047619047619,177.855,0.444444444444444,0.318833162743091,-85.9,"2"
"30","Chris Creighton",0.470588235294118,111.742857142857,0.7,0.401915050331451,-33.5,"1"
"31","Chris Klieman",0.375,179.93,0.571428571428571,0.307053941908714,-8,"2"
"32","Chris Petersen",0.442857142857143,226.896666666667,0.857142857142857,0.359793330201973,894.7,"4"
"33","Chuck Martin",0.55,128.094285714286,0.421052631578947,0.389633831872099,-100.8,"1"
"34","Clay Helton",0.375,266.235,0.827586206896552,0.411397345823575,-432.6,"2"
"35","Craig Bohl",0.342857142857143,116.415714285714,0.619047619047619,0.317397078353254,30.4,"1"
"36","Curtis Johnson",0.444444444444444,123.88,0.4,0.391638225255973,-20.2,"1"
"37","D.J. Durkin",0.533333333333333,229.24,0.777777777777778,0.331288343558282,12,"2"
"38","Dabo Swinney",0.4,271.104285714286,0.931034482758621,0.409990917347866,1378.4,"4"
"39","Dan Enos",0.2,91.2,0.4,0.369047619047619,-15.3,"1"
"40","Dan Mullen",0.407407407407407,242.981666666667,0.75,0.398442714126808,235.1,"2"
"41","Dana Holgorsen",0.345238095238095,184.432857142857,0.6,0.391480730223124,171.1,"2"
"42","Darrell Hazell",0.4,154.653333333333,1,0.447750865051903,-71.3,"2"
"43","Dave Clawson",0.373333333333333,171.575714285714,0.909090909090909,0.376130597838076,-17.8,"2"
"44","Dave Doeren",0.402298850574713,200.11,0.72,0.390582299768762,305.2,"2"
"45","David Bailiff",0.5,108.1975,0.571428571428571,0.329893107261334,-65.2,"1"
"46","David Beaty",0.448275862068966,162.7675,1,0.41388673390225,-61.4,"2"
"47","David Cutcliffe",0.5125,181.6,0.8125,0.40547153024911,39.9,"2"
"48","David Shaw",0.258620689655172,235.257142857143,0.714285714285714,0.354870051008016,196.5,"2"
"49","Dennis Franchione",0.354838709677419,117.305,0.666666666666667,0.366583541147132,-1.4,"1"
"50","Derek Mason",0.265625,181.435714285714,0.777777777777778,0.373408048904738,-92.3,"2"
"51","Dino Babers",0.455555555555556,159.341428571429,0.68,0.436022819885901,-166.7,"1"
"52","Doc Holliday",0.310344827586207,157.488571428571,0.85,0.386411889596603,-185.8,"2"
"53","Doug Martin",0.471698113207547,101.002857142857,0.55,0.465827338129496,-48.8,"1"
"54","Ed Orgeron",0.344827586206897,281.66,0.857142857142857,0.376140588036499,636.6,"4"
"55","Eli Drinkwitz",0.692307692307692,182.85,0.5,0.338251986379115,-10,"3"
"56","Everett Withers",0.6,121.28,0.25,0.400481058328322,-32.2,"1"
"57","Frank Beamer",0.258064516129032,214.73,0.6,0.348042704626335,30.7,"2"
"58","Frank Solich",0.369230769230769,118.637142857143,0.8,0.337818003913894,-64.5,"2"
"59","Frank Wilson",0.615384615384615,141.7725,0.666666666666667,0.372866127583109,115.5,"1"
"60","Gary Andersen",0.393939393939394,160.56,0.75,0.351171738370059,-41,"2"
"61","Gary Patterson",0.397058823529412,210.932857142857,0.696969696969697,0.384615384615385,3.3,"2"
"62","Gary Pinkel",0.28,208.255,0.857142857142857,0.38486574450773,-26.1,"2"
"63","Geoff Collins",0.488372093023256,168.6325,0.8,0.367432150313152,-133.8,"2"
"64","George O'Leary",0.333333333333333,160.165,1,0.418960244648318,245.4,"2"
"65","Gus Malzahn",0.444444444444444,270.2,0.611111111111111,0.307581672488186,-514.7,"2"
"66","Herm Edwards",0.444444444444444,218.83,0.777777777777778,0.386103151862464,-166.5,"2"
"67","Hugh Freeze",0.422222222222222,204.682,0.764705882352941,0.429092013361676,3,"2"
"68","Jake Spavital",0.444444444444444,128.145,0.666666666666667,0.496569468267581,-31.3,"1"
